Name,Height (m),Height (ft),lat,long,
Geal Charn ,1049,3442,56.897038,-4.457713,
Ben Alder,1148,3766,56.813311,-4.4653344,
Beinn Bheoil,1019,3343,56.813088,-4.4309114,
Beinn Udlamain,1010.2,3314,56.834771,-4.3306736,
Sgairneach Mhor,991,3251,56.828167,-4.2991204,
A' Mharconaich,973.2,3193,56.856175,-4.290997,
Geal-charn,917.1,3009,56.873886,-4.3052094,
Meall Chuaich,951,3120,56.963544,-4.1133474,
Carn na Caim,940.8,3087,56.911276,-4.1744557,
A' Bhuidheanach Bheag,936.1,3071,56.869495,-4.1999233,
Beinn Dearg ,1008.7,3309,56.877337,-3.885288,
An Sgarsoch,1006.5,3302,56.931351,-3.7548964,
Carn an Fhidhleir [Carn Ealar],994,3261,56.935163,-3.8027388,
Carn a' Chlamain,963.5,3161,56.860896,-3.7811202,
Carn nan Gabhar (Beinn a' Ghlo),1121.9,3681,56.839723,-3.6883101,
Braigh Coire Chruinn-bhalgain (Beinn a' Ghlo),1070,3510,56.831058,-3.7305333,
Carn Liath (Beinn a' Ghlo),976,3202,56.807507,-3.7441891,
Glas Tulaichean,1051,3448,56.865673,-3.5582428,
Carn an Righ,1029,3376,56.875973,-3.596412,
Beinn Iutharn Mhor,1045,3428,56.894286,-3.5692843,
Carn Bhac,945.1,3101,56.930329,-3.560938,
An Socach ,944,3097,56.902159,-3.5137855,
Carn a' Gheoidh,975,3199,56.873072,-3.4666687,
The Cairnwell,933,3061,56.878972,-3.4225932,
Carn Aosda,915.3,3003,56.895118,-3.4248487,
Cac Carn Beag (Lochnagar),1155.7,3792,56.959915,-3.2464249,
Carn a' Choire Bhoidheach,1109.9,3641,56.945264,-3.2738813,
Carn an t-Sagairt Mor,1047,3435,56.942265,-3.303366,
Glas Maol,1068,3504,56.872374,-3.3698407,
Creag Leacach,988.2,3242,56.854195,-3.3888548,
Cairn of Claise,1064,3491,56.893368,-3.3394189,
Carn an Tuirc,1019,3343,56.907543,-3.3579908,
Tom Buidhe,957,3140,56.892954,-3.2934403,
Tolmount,958,3143,56.904579,-3.2987684,
Cairn Bannoch,1012,3320,56.927235,-3.2798389,
Broad Cairn,998,3274,56.918553,-3.2499735,
Mayar,928,3045,56.848499,-3.2476366,
Driesh,947,3107,56.8472,-3.1967678,
Mount Keen,939,3081,56.969523,-2.9736956,
Mullach Clach a' Bhlair,1019,3343,57.011852,-3.842682,
Sgor Gaoith,1118,3668,57.068024,-3.8108275,
Braeriach,1296,4252,57.078168,-3.7288277,
Sgor an Lochain Uaine,1258,4127,57.057539,-3.7262195,
Cairn Toul,1291,4236,57.05415,-3.7112231,
The Devil's Point,1006.9,3303,57.035585,-3.6889457,
Monadh Mor,1113,3652,57.026644,-3.7511481,
Beinn Bhrotain,1157,3796,57.009051,-3.7239721,
Carn a' Mhaim,1037,3402,57.035981,-3.6593002,
Ben Macdui [Beinn Macduibh],1309,4295,57.069971,-3.6707142,
Cairn Gorm,1244.8,4084,57.116137,-3.6447166,
Bynack More,1090,3576,57.137555,-3.5861779,
Beinn Mheadhoin,1182.9,3881,57.094994,-3.6124189,
Derry Cairngorm,1155,3789,57.062518,-3.6225541,
Beinn Bhreac,931,3054,57.054396,-3.5546004,
Beinn a' Chaorainn ,1083,3553,57.092741,-3.5776613,
Leabaidh an Daimh Bhuidhe (Ben Avon),1172,3845,57.098936,-3.435963,
Beinn a' Bhuird North Top,1197,3927,57.087407,-3.4998747,
Geal Charn,926,3038,57.056813,-4.3742613,
Carn Dearg,945.7,3103,57.091379,-4.2543197,
A' Chailleach ,929.3,3049,57.108879,-4.179417,
Carn Sgulain,920.3,3019,57.124196,-4.177013,
Creag Meagaidh,1128.1,3701,56.951617,-4.6027428,
Stob Poite Coire Ardair,1054,3458,56.963624,-4.5871287,
Carn Liath,1006,3301,56.978561,-4.5157492,
Beinn a' Chaorainn,1049.1,3442,56.928078,-4.6536987,
Beinn Teallach,914.6,3001,56.935276,-4.6953094,
Gleouraich,1035,3396,57.096756,-5.2387439,
Sgurr a' Mhaoraich,1027,3369,57.105097,-5.331977,
Spidean Mialach,996,3268,57.088888,-5.1951286,
The Saddle,1011.5,3319,57.162196,-5.4148769,
Sgurr na Sgine,946,3104,57.146503,-5.3968915,
Creag a' Mhaim,946.2,3104,57.120303,-5.1614814,
Druim Shionnach,985.2,3232,57.126039,-5.1834561,
Aonach air Chrith,1019.5,3345,57.124173,-5.2213071,
Maol Chinn-dearg,980.3,3216,57.126951,-5.252952,
Sgurr an Doire Leathain,1010,3314,57.136085,-5.2818591,
Sgurr an Lochain,1004,3294,57.141033,-5.2988323,
Creag nan Damh,917.2,3009,57.147246,-5.3357688,
Beinn Sgritheall,974,3196,57.153061,-5.5811045,
Sgurr na Ciche,1040.2,3413,57.012704,-5.4571761,
Garbh Chioch Mhor,1012.9,3323,57.008539,-5.4452553,
Sgurr nan Coireachan ,953.8,3129,57.006929,-5.4055638,
Sgurr Mor ,1003,3291,57.028079,-5.3547477,
Gairich,919,3015,57.04414,-5.2572466,
Meall Buidhe,946,3104,57.030841,-5.5478927,
Ladhar Bheinn,1020,3346,57.074543,-5.5916851,
Luinne Bheinn,939,3081,57.047955,-5.5148869,
Sron a' Choire Ghairbh,937,3074,57.007301,-4.9294853,
Meall na Teanga,916.8,3008,56.988384,-4.9312908,
Gulvain [Gaor Bheinn],987,3238,56.935528,-5.2855839,
Sgurr Thuilm,963,3159,56.936354,-5.3892554,
Sgurr nan Coireachan,956,3136,56.935589,-5.4500305,
Sgurr Fhuaran,1068.8,3507,57.195452,-5.3483982,
Sgurr na Carnach,1002,3287,57.188234,-5.3494,
Sgurr na Ciste Duibhe,1027,3369,57.180471,-5.33711,
Saileag,956,3136,57.181012,-5.2825346,
Sgurr a' Bhealaich Dheirg,1036,3399,57.177303,-5.2524139,
Aonach Meadhoin,1001,3284,57.172477,-5.2304765,
Ciste Dhubh,981.1,3219,57.19908,-5.2096173,
Beinn Fhada,1031.9,3385,57.220516,-5.2843886,
A' Ghlas-bheinn,918,3012,57.255057,-5.3040503,
Sgurr nan Ceathramhnan [Sgurr nan Ceathreamhnan],1151,3776,57.254474,-5.2227294,
Mullach na Dheiragain ,982,3222,57.283249,-5.1870709,
An Socach,919.7,3017,57.256677,-5.1715054,
Mam Sodhail,1179.4,3869,57.279531,-5.1203653,
Carn Eighe,1182.8,3881,57.28683,-5.1160039,
Beinn Fhionnlaidh,1004.8,3297,57.305336,-5.1308563,
Tom a' Choinich,1112,3648,57.29926,-5.0489777,
Toll Creagach,1054,3458,57.30853,-4.9999208,
Mullach Fraoch-choire,1102,3615,57.204906,-5.1571229,
A' Chraileag [A' Chralaig],1120,3675,57.18338,-5.1552849,
Sail Chaorainn,999.2,3278,57.191263,-5.0913888,
Sgurr nan Conbhairean,1109,3638,57.176748,-5.0967955,
Carn Ghluasaid,957,3140,57.165737,-5.0694029,
Sgurr na Ruaidhe,993,3258,57.441381,-4.8524514,
Carn nan Gobhar ,992,3255,57.451541,-4.8799184,
Sgurr a' Choire Ghlais,1083,3553,57.443791,-4.9043119,
Sgurr Fhuar-thuill,1049,3442,57.449182,-4.9430838,
Moruisg,928,3045,57.499382,-5.1708417,
Maoile Lunndaidh,1004.9,3297,57.46402,-5.1110655,
Sgurr a' Chaorachain,1053,3455,57.452156,-5.1900933,
Sgurr Choinnich,999.3,3279,57.450795,-5.208316,
Bidein a' Choire Sheasgaich,945,3100,57.419151,-5.2505263,
Lurg Mhor,987,3238,57.412618,-5.2249617,
Carn nan Gobhar,993,3258,57.362732,-5.025969,
Sgurr na Lapaich,1151,3776,57.369105,-5.0597656,
An Riabhachan,1129,3704,57.361687,-5.1057191,
An Socach,1069,3507,57.34956,-5.1595648,
Sgurr Mhor (Beinn Alligin),986,3235,57.590185,-5.5737883,
Tom na Gruagaich (Beinn Alligin),922,3025,57.58004,-5.5828339,
Spidean a' Choire Leith (Liathach),1054.8,3461,57.563578,-5.4641195,
Mullach an Rathain (Liathach),1023.8,3359,57.56006,-5.4938918,
Ruadh-stac Mor (Beinn Eighe),1010,3314,57.593272,-5.4301154,
Spidean Coire nan Clach (Beinn Eighe),993,3258,57.581397,-5.4038937,
Sgorr Ruadh,960.7,3152,57.49859,-5.4078617,
Maol Chean-dearg,933,3061,57.49162,-5.4656416,
Beinn Liath Mhor,926,3038,57.511368,-5.4007028,
Slioch,981,3219,57.666486,-5.3481282,
Ruadh Stac Mor,918.7,3014,57.726287,-5.3301335,
A' Mhaighdean,967,3173,57.719523,-5.3479901,
Beinn Tarsuinn,933.8,3064,57.701203,-5.2925699,
Mullach Coire Mhic Fhearchair,1015.2,3331,57.708942,-5.2714419,
Sgurr Ban,989,3245,57.71804,-5.2672243,
Bidein a' Ghlas Thuill (An Teallach),1062.5,3486,57.806484,-5.2533352,
Sgurr Fiona (An Teallach),1058.7,3473,57.800034,-5.2594882,
A' Chailleach,998.6,3276,57.693669,-5.1290651,
Sgurr Breac,999.6,3280,57.691885,-5.0919861,
Meall a' Chrasgaidh,934,3064,57.712675,-5.0500969,
Sgurr nan Clach Geala,1093,3586,57.695633,-5.0486632,
Sgurr nan Each,923,3028,57.680385,-5.0473818,
Sgurr Mor,1108.9,3638,57.699984,-5.0171332,
Beinn Liath Mhor Fannaich,954,3130,57.706003,-4.9907703,
Meall Gorm,949.7,3116,57.680069,-4.9852767,
An Coileachan,924,3031,57.6674,-4.950691,
Fionn Bheinn,933,3061,57.610712,-5.1035047,
Am Faochagach,953,3127,57.771153,-4.8548723,
Cona' Mheall,978,3209,57.790717,-4.9035378,
Beinn Dearg,1084,3556,57.785613,-4.9300499,
Meall nan Ceapraichean,977,3205,57.798093,-4.9344288,
